Qualification,Faculty,Full-Time Permanent Employment Rate,Gross Monthly Salary ($) Mean,Gross Monthly Salary ($) Median,Gross Monthly Salary ($) 25th Percentile,Gross Monthly Salary ($) 75th Percentile,Institution,Year of Survey,Data Suppression,Sources,"(Charts) GROUP BY Qualification, Institution & Year of Survey"
Bachelor of Engineering with Honours in Offshore Engineering,SIT-Newcastle University,0.000,0.000,0.000,0.000,0.000,SIT,2019,Suppressed,SIT GES 2019,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2019
Bachelor in Science (Diagnostic Radiography),SIT-Trinity College Dublin,0.000,0.000,0.000,0.000,0.000,SIT,2019,Suppressed,SIT GES 2019,Bachelor in Science (Diagnostic Radiography) | SIT 2019
Bachelor in Science (Occupational Therapy),SIT-Trinity College Dublin,1.000,"$3,466","$3,425","$3,308","$3,650",SIT,2019,No,SIT GES 2019,Bachelor in Science (Occupational Therapy) | SIT 2019
Bachelor in Science (Physiotherapy),SIT-Trinity College Dublin,0.983,"$3,498","$3,400","$3,400","$3,620",SIT,2019,No,SIT GES 2019,Bachelor in Science (Physiotherapy) | SIT 2019
Bachelor in Science (Radiation Therapy),SIT-Trinity College Dublin,0.000,0.000,0.000,0.000,0.000,SIT,2019,Suppressed,SIT GES 2019,Bachelor in Science (Radiation Therapy) | SIT 2019
Bachelor of Science with Honours in Nursing,SIT-University of Glasgow,0.958,"$3,772","$3,800","$3,450","$4,085",SIT,2019,No,SIT GES 2019,Bachelor of Science with Honours in Nursing | SIT 2019
Bachelor of Science in Chemical Engineering,Technische Universität München,0.773,"$3,471","$3,300","$3,110","$3,600",SIT,2019,No,SIT GES 2019,Bachelor of Science in Chemical Engineering | SIT 2019
Bachelor of Science in Electrical Engineering & Information Technology,Technische Universität München,0.000,0.000,0.000,0.000,0.000,SIT,2019,Suppressed,SIT GES 2019,Bachelor of Science in Electrical Engineering & Information Technology | SIT 2019
Bachelor of Business Administration in Food Business Management,The Culinary Institute of America,0.619,"$2,852","$2,625","$2,200","$3,350",SIT,2019,No,SIT GES 2019,Bachelor of Business Administration in Food Business Management | SIT 2019
Bachelor of Arts with Honours in Communication Design,The Glasgow School of Art,0.553,"$2,832","$2,800","$2,450","$3,000",SIT,2019,No,SIT GES 2019,Bachelor of Arts with Honours in Communication Design | SIT 2019
Bachelor of Arts with Honours in Interior Design,The Glasgow School of Art,0.806,"$2,760","$2,700","$2,400","$3,000",SIT,2019,No,SIT GES 2019,Bachelor of Arts with Honours in Interior Design | SIT 2019
Bachelor of Engineering with Honours in Aeronautical Engineering,University of Glasgow,0.646,"$3,597","$3,500","$3,200","$4,000",SIT,2019,No,SIT GES 2019,Bachelor of Engineering with Honours in Aeronautical Engineering | SIT 2019
Bachelor of Engineering with Honours in Aerospace Systems,University of Glasgow,0.676,"$3,993","$3,700","$3,400","$4,600",SIT,2019,No,SIT GES 2019,Bachelor of Engineering with Honours in Aerospace Systems | SIT 2019
Bachelor of Engineering with Honours in Mechanical Design Engineering,University of Glasgow,0.939,"$3,722","$3,500","$3,300","$3,800",SIT,2019,No,SIT GES 2019,Bachelor of Engineering with Honours in Mechanical Design Engineering | SIT 2019
Bachelor of Engineering with Honours in Mechatronics,University of Glasgow,0.831,"$3,793","$3,600","$3,300","$4,000",SIT,2019,No,SIT GES 2019,Bachelor of Engineering with Honours in Mechatronics | SIT 2019
Bachelor of Science with Honours in Computing Science,University of Glasgow,0.892,"$4,366","$4,200","$3,700","$5,100",SIT,2019,No,SIT GES 2019,Bachelor of Science with Honours in Computing Science | SIT 2019
Bachelor of Arts with Honours in Criminology & Security,University of Liverpool,0.704,"$3,823","$3,695","$3,400","$4,050",SIT,2019,No,SIT GES 2019,Bachelor of Arts with Honours in Criminology & Security | SIT 2019
Bachelor of Engineering (Engineering Product Development),SUTD,0.802,"$4,042","$4,000","$3,660","$4,500",SUTD,2019,No,SUTD GES 2019,Bachelor of Engineering (Engineering Product Development) | SUTD 2019
Bachelor of Engineering (Information Systems Technology & Design),SUTD,0.857,"$4,636","$4,400","$3,800","$5,000",SUTD,2019,No,SUTD GES 2019,Bachelor of Engineering (Information Systems Technology & Design) | SUTD 2019
Bachelor of Engineering (Engineering Systems & Design),SUTD,0.873,"$4,082","$4,000","$3,500","$4,400",SUTD,2019,No,SUTD GES 2019,Bachelor of Engineering (Engineering Systems & Design) | SUTD 2019
Bachelor of Science (Architecture & Sustainable Design),SUTD,0.918,"$3,985","$3,900","$3,600","$4,100",SUTD,2019,No,SUTD GES 2019,Bachelor of Science (Architecture & Sustainable Design) | SUTD 2019
Accountancy,Nanyang Business School,0.887,"$3,228","$3,000","$3,000","$3,100",NTU,2020,No,NTU GES 2020,Accountancy | NTU 2020
Accountancy & Business,Nanyang Business School,0.913,"$4,704","$4,405","$3,500","$5,000",NTU,2020,No,NTU GES 2020,Accountancy & Business | NTU 2020
Business,Nanyang Business School,0.668,"$4,113","$3,800","$3,300","$4,429",NTU,2020,No,NTU GES 2020,Business | NTU 2020
Double Degree in Business & Computer Engineering/Computing,Nanyang Business School,0.974,"$5,537","$5,400","$5,000","$5,750",NTU,2020,No,NTU GES 2020,Double Degree in Business & Computer Engineering/Computing | NTU 2020
Aerospace Engineering,College of Engineering,0.758,"$4,284","$4,000","$3,800","$4,945",NTU,2020,No,NTU GES 2020,Aerospace Engineering | NTU 2020
Bioengineering,College of Engineering,0.436,"$3,473","$3,450","$3,200","$3,800",NTU,2020,No,NTU GES 2020,Bioengineering | NTU 2020
Chemical & Biomolecular Engineering,College of Engineering,0.830,"$3,948","$3,900","$3,500","$4,300",NTU,2020,No,NTU GES 2020,Chemical & Biomolecular Engineering | NTU 2020
Civil Engineering,College of Engineering,0.870,"$3,495","$3,500","$3,200","$3,800",NTU,2020,No,NTU GES 2020,Civil Engineering | NTU 2020
Computer Engineering,College of Engineering,0.944,"$4,136","$4,100","$3,627","$4,845",NTU,2020,No,NTU GES 2020,Computer Engineering | NTU 2020
Computer Science,College of Engineering,0.861,"$4,558","$4,300","$3,880","$5,000",NTU,2020,No,NTU GES 2020,Computer Science | NTU 2020
Double Degree in Engineering & Economics,College of Engineering,0.941,"$4,516","$4,450","$3,825","$5,050",NTU,2020,No,NTU GES 2020,Double Degree in Engineering & Economics | NTU 2020
Electrical & Electronic Engineering,College of Engineering,0.751,"$4,004","$3,880","$3,500","$4,370",NTU,2020,No,NTU GES 2020,Electrical & Electronic Engineering | NTU 2020
Environmental Engineering,College of Engineering,0.585,"$3,444","$3,450","$3,200","$3,800",NTU,2020,No,NTU GES 2020,Environmental Engineering | NTU 2020
Information Engineering & Media,College of Engineering,0.700,"$4,208","$4,000","$3,500","$4,500",NTU,2020,No,NTU GES 2020,Information Engineering & Media | NTU 2020
Maritime Studies,College of Engineering,0.785,"$3,646","$3,500","$3,300","$3,875",NTU,2020,No,NTU GES 2020,Maritime Studies | NTU 2020
Materials Engineering,College of Engineering,0.690,"$3,755","$3,700","$3,500","$4,000",NTU,2020,No,NTU GES 2020,Materials Engineering | NTU 2020
Mechanical Engineering,College of Engineering,0.675,"$3,977","$3,850","$3,500","$4,432",NTU,2020,No,NTU GES 2020,Mechanical Engineering | NTU 2020
"Art, Design & Media","College of Humanities, Arts, & Social Sciences",0.357,"$2,925","$2,800","$2,500","$3,300",NTU,2020,No,NTU GES 2020,"Art, Design & Media | NTU 2020"
Chinese,"College of Humanities, Arts, & Social Sciences",0.635,"$3,310","$3,500","$3,000","$3,500",NTU,2020,No,NTU GES 2020,Chinese | NTU 2020
Communication Studies,"College of Humanities, Arts, & Social Sciences",0.667,"$3,440","$3,340","$3,000","$3,800",NTU,2020,No,NTU GES 2020,Communication Studies | NTU 2020
Economics,"College of Humanities, Arts, & Social Sciences",0.635,"$3,926","$3,797","$3,400","$4,050",NTU,2020,No,NTU GES 2020,Economics | NTU 2020
English,"College of Humanities, Arts, & Social Sciences",0.432,"$3,561","$3,450","$3,128","$3,900",NTU,2020,No,NTU GES 2020,English | NTU 2020
History,"College of Humanities, Arts, & Social Sciences",0.447,"$3,644","$3,650","$3,250","$4,025",NTU,2020,No,NTU GES 2020,History | NTU 2020
Inter-Disciplinary Double Major,"College of Humanities, Arts, & Social Sciences",0.500,"$3,797","$3,854","$3,200","$4,500",NTU,2020,No,NTU GES 2020,Inter-Disciplinary Double Major | NTU 2020
Linguistics & Multilingual Studies,"College of Humanities, Arts, & Social Sciences",0.638,"$3,472","$3,350","$3,000","$3,900",NTU,2020,No,NTU GES 2020,Linguistics & Multilingual Studies | NTU 2020
Philosophy,"College of Humanities, Arts, & Social Sciences",0.704,"$3,580","$3,650","$3,300","$3,850",NTU,2020,No,NTU GES 2020,Philosophy | NTU 2020
Psychology,"College of Humanities, Arts, & Social Sciences",0.535,"$3,433","$3,300","$3,100","$3,650",NTU,2020,No,NTU GES 2020,Psychology | NTU 2020
Public Policy & Global Affairs,"College of Humanities, Arts, & Social Sciences",0.675,"$4,043","$3,800","$3,500","$4,583",NTU,2020,No,NTU GES 2020,Public Policy & Global Affairs | NTU 2020
Sociology,"College of Humanities, Arts, & Social Sciences",0.662,"$3,598","$3,600","$3,300","$3,800",NTU,2020,No,NTU GES 2020,Sociology | NTU 2020
Biological Sciences,College of Science,0.567,"$3,401","$3,325","$3,200","$3,650",NTU,2020,No,NTU GES 2020,Biological Sciences | NTU 2020
Biomedical Sciences & Chinese Medicine,College of Science,0.842,"$2,969","$3,000","$2,800","$3,150",NTU,2020,No,NTU GES 2020,Biomedical Sciences & Chinese Medicine | NTU 2020
Chemistry & Biological Chemistry,College of Science,0.456,"$3,345","$3,245","$3,000","$3,635",NTU,2020,No,NTU GES 2020,Chemistry & Biological Chemistry | NTU 2020
Environmental Earth Systems Sciences,College of Science,0.636,"$3,657","$3,550","$3,400","$3,764",NTU,2020,No,NTU GES 2020,Environmental Earth Systems Sciences | NTU 2020
Mathematical Sciences,College of Science,0.689,"$3,823","$3,656","$3,300","$4,250",NTU,2020,No,NTU GES 2020,Mathematical Sciences | NTU 2020
Mathematics & Economics,College of Science,0.557,"$3,949","$3,832","$3,500","$4,300",NTU,2020,No,NTU GES 2020,Mathematics & Economics | NTU 2020
Physics & Applied Physics,College of Science,0.485,"$3,719","$3,700","$3,500","$3,850",NTU,2020,No,NTU GES 2020,Physics & Applied Physics | NTU 2020
Sports Science & Management,Sports Science & Management,0.525,"$3,661","$3,300","$3,000","$4,200",NTU,2020,No,NTU GES 2020,Sports Science & Management | NTU 2020
Arts (With Education),National Institute of Education (NIE),0.984,"$3,682","$3,799","$3,600","$3,806",NTU,2020,No,NTU GES 2020,Arts (With Education) | NTU 2020
Science (With Education),National Institute of Education (NIE),1.000,"$3,744","$3,800","$3,700","$4,000",NTU,2020,No,NTU GES 2020,Science (With Education) | NTU 2020
Medicine,Lee Kong Chian School of Medicine,1.000,"$5,387","$5,250","$5,000","$5,900",NTU,2020,No,NTU GES 2020,Medicine | NTU 2020
Bachelor of Arts,Faculty of Arts & Social Sciences,0.398,"$3,868","$3,300","$2,700","$3,600",NUS,2020,No,NUS GES 2020,Bachelor of Arts | NUS 2020
Bachelor of Arts (Hons),Faculty of Arts & Social Sciences,0.542,"$3,586","$3,500","$3,300","$3,854",NUS,2020,No,NUS GES 2020,Bachelor of Arts (Hons) | NUS 2020
Bachelor of Social Sciences,Faculty of Arts & Social Sciences,0.653,"$3,666","$3,500","$3,345","$3,875",NUS,2020,No,NUS GES 2020,Bachelor of Social Sciences | NUS 2020
Bachelor of Dental Surgery,Faculty of Dentistry,1.000,"$4,280","$4,200","$4,200","$4,600",NUS,2020,No,NUS GES 2020,Bachelor of Dental Surgery | NUS 2020
Bachelor of Engineering (Biomedical Engineering),Faculty of Engineering,0.531,"$3,577","$3,500","$3,300","$3,740",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Biomedical Engineering) | NUS 2020
Bachelor of Engineering (Chemical Engineering),Faculty of Engineering,0.782,"$4,155","$4,000","$3,700","$4,500",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Chemical Engineering) | NUS 2020
Bachelor of Engineering (Civil Engineering),Faculty of Engineering,0.865,"$3,739","$3,590","$3,500","$4,050",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Civil Engineering) | NUS 2020
Bachelor of Engineering (Electrical Engineering),Faculty of Engineering,0.754,"$4,370","$4,200","$3,800","$5,000",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Electrical Engineering) | NUS 2020
Bachelor of Engineering (Engineering Science),Faculty of Engineering,0.739,"$4,584","$4,000","$3,765","$5,000",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Engineering Science) | NUS 2020
Bachelor of Engineering (Environmental Engineering),Faculty of Engineering,0.632,"$3,572","$3,500","$3,250","$3,875",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Environmental Engineering) | NUS 2020
Bachelor of Engineering (Industrial & Systems Engineering),Faculty of Engineering,0.930,"$4,337","$4,380","$3,700","$4,800",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Industrial & Systems Engineering) | NUS 2020
Bachelor of Engineering (Materials Science & Engineering),Faculty of Engineering,0.661,"$3,922","$3,900","$3,600","$4,200",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Materials Science & Engineering) | NUS 2020
Bachelor of Engineering (Mechanical Engineering),Faculty of Engineering,0.696,"$3,946","$3,800","$3,500","$4,200",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Mechanical Engineering) | NUS 2020
Bachelor of Laws,Faculty of Law,0.868,"$5,009","$5,000","$4,400","$5,600",NUS,2020,No,NUS GES 2020,Bachelor of Laws | NUS 2020
Bachelor of Science,Faculty of Science,0.421,"$3,297","$3,100","$3,000","$3,650",NUS,2020,No,NUS GES 2020,Bachelor of Science | NUS 2020
Bachelor of Science (Hons),Faculty of Science,0.574,"$3,723","$3,528","$3,300","$4,000",NUS,2020,No,NUS GES 2020,Bachelor of Science (Hons) | NUS 2020
Bachelor of Science (Computational Biology),Faculty of Science,0.400,"$4,625","$4,650","$4,250","$5,000",NUS,2020,No,NUS GES 2020,Bachelor of Science (Computational Biology) | NUS 2020
Bachelor of Science (Pharmacy),Faculty of Science,0.937,"$3,751","$3,700","$3,500","$3,950",NUS,2020,No,NUS GES 2020,Bachelor of Science (Pharmacy) | NUS 2020
Bachelor of Science (Data Science & Analytics),Faculty of Science,0.783,"$4,456","$4,125","$3,900","$4,900",NUS,2020,No,NUS GES 2020,Bachelor of Science (Data Science & Analytics) | NUS 2020
Bachelor of Business Administration,NUS Business School,0.667,"$5,043","$4,150","$3,300","$6,100",NUS,2020,No,NUS GES 2020,Bachelor of Business Administration | NUS 2020
Bachelor of Business Administration (Hons),NUS Business School,0.807,"$4,579","$4,000","$3,600","$5,000",NUS,2020,No,NUS GES 2020,Bachelor of Business Administration (Hons) | NUS 2020
Bachelor of Business Administration (Accountancy),NUS Business School,0.636,"$4,443","$3,500","$2,800","$5,500",NUS,2020,No,NUS GES 2020,Bachelor of Business Administration (Accountancy) | NUS 2020
Bachelor of Business Administration (Accountancy) (Hons),NUS Business School,0.921,"$4,050","$3,500","$3,000","$4,425",NUS,2020,No,NUS GES 2020,Bachelor of Business Administration (Accountancy) (Hons) | NUS 2020
Bachelor of Computing (Computer Science),School of Computing,0.926,"$5,735","$5,243","$4,400","$6,316",NUS,2020,No,NUS GES 2020,Bachelor of Computing (Computer Science) | NUS 2020
Bachelor of Computing (Information Security),School of Computing,0.909,"$4,746","$5,000","$4,200","$5,300",NUS,2020,No,NUS GES 2020,Bachelor of Computing (Information Security) | NUS 2020
Bachelor of Computing (Information Systems),School of Computing,0.931,"$4,764","$4,500","$4,000","$5,400",NUS,2020,No,NUS GES 2020,Bachelor of Computing (Information Systems) | NUS 2020
Bachelor of Science (Business Analytics),School of Computing,0.843,"$5,094","$5,000","$4,480","$5,800",NUS,2020,No,NUS GES 2020,Bachelor of Science (Business Analytics) | NUS 2020
Bachelor of Arts (Architecture),School of Design & Environment,0.910,"$4,058","$4,000","$3,650","$4,300",NUS,2020,No,NUS GES 2020,Bachelor of Arts (Architecture) | NUS 2020
Bachelor of Arts (Industrial Design),School of Design & Environment,0.226,"$3,417","$3,500","$3,000","$3,500",NUS,2020,No,NUS GES 2020,Bachelor of Arts (Industrial Design) | NUS 2020
Bachelor of Science (Project & Facilities Management),School of Design & Environment,0.667,"$3,400","$3,200","$3,000","$3,500",NUS,2020,No,NUS GES 2020,Bachelor of Science (Project & Facilities Management) | NUS 2020
Bachelor of Science (Real Estate),School of Design & Environment,0.686,"$3,682","$3,630","$3,200","$4,000",NUS,2020,No,NUS GES 2020,Bachelor of Science (Real Estate) | NUS 2020
Bachelor of Medicine & Bachelor of Surgery (MBBS),Yong Loo Lin School of Medicine,1.000,"$5,306","$5,250","$5,000","$5,800",NUS,2020,No,NUS GES 2020,Bachelor of Medicine & Bachelor of Surgery (MBBS) | NUS 2020
Bachelor of Science (Nursing),Yong Loo Lin School of Medicine,0.922,"$3,489","$3,500","$3,250","$3,680",NUS,2020,No,NUS GES 2020,Bachelor of Science (Nursing) | NUS 2020
Bachelor of Science (Nursing) (Hons),Yong Loo Lin School of Medicine,0.970,"$3,616","$3,600","$3,500","$3,750",NUS,2020,No,NUS GES 2020,Bachelor of Science (Nursing) (Hons) | NUS 2020
Bachelor of Music,Yong Siew Toh Conservatory of Music,0.154,"$3,238","$3,275","$3,125","$3,350",NUS,2020,No,NUS GES 2020,Bachelor of Music | NUS 2020
Bachelor of Arts with Honours,Yale-NUS College,0.657,"$4,370","$3,890","$3,475","$5,000",NUS,2020,No,NUS GES 2020,Bachelor of Arts with Honours | NUS 2020
Bachelor of Science with Honours,Yale-NUS College,0.778,"$5,798","$5,350","$4,225","$6,485",NUS,2020,No,NUS GES 2020,Bachelor of Science with Honours | NUS 2020
Bachelor of Engineering (Computer Engineering),Multidisciplinary Programme,0.811,"$4,977","$5,000","$4,080","$5,500",NUS,2020,No,NUS GES 2020,Bachelor of Engineering (Computer Engineering) | NUS 2020
Bachelor of Environmental Studies,Multidisciplinary Programme,0.476,"$3,409","$3,250","$3,010","$3,750",NUS,2020,No,NUS GES 2020,Bachelor of Environmental Studies | NUS 2020
Accountancy,School of Accountancy,0.860,"$3,694","$3,100","$3,000","$4,000",SMU,2020,No,SMU GES 2020,Accountancy | SMU 2020
Accountancy (cum laude & above),School of Accountancy,0.861,"$4,057","$3,744","$3,000","$4,583",SMU,2020,No,SMU GES 2020,Accountancy (cum laude & above) | SMU 2020
Business Management,School of Business,0.684,"$4,293","$3,850","$3,440","$4,600",SMU,2020,No,SMU GES 2020,Business Management | SMU 2020
Business Management (cum laude & above),School of Business,0.787,"$4,688","$4,000","$3,600","$5,000",SMU,2020,No,SMU GES 2020,Business Management (cum laude & above) | SMU 2020
Economics,School of Economics,0.705,"$4,290","$3,800","$3,400","$4,500",SMU,2020,No,SMU GES 2020,Economics | SMU 2020
Economics (cum laude & above),School of Economics,0.829,"$4,749","$4,000","$3,660","$5,275",SMU,2020,No,SMU GES 2020,Economics (cum laude & above) | SMU 2020
Information Systems,School of Information Systems,0.839,"$4,683","$4,542","$4,000","$5,400",SMU,2020,No,SMU GES 2020,Information Systems | SMU 2020
Information Systems (cum laude & above),School of Information Systems,0.933,"$5,064","$5,000","$4,500","$5,416",SMU,2020,No,SMU GES 2020,Information Systems (cum laude & above) | SMU 2020
Social Sciences,School of Social Sciences,0.528,"$3,626","$3,500","$3,200","$4,000",SMU,2020,No,SMU GES 2020,Social Sciences | SMU 2020
Social Sciences (cum laude & above),School of Social Sciences,0.656,"$3,784","$3,510","$3,230","$4,200",SMU,2020,No,SMU GES 2020,Social Sciences (cum laude & above) | SMU 2020
Law,School of Law,0.911,"$4,804","$4,588","$4,000","$5,600",SMU,2020,No,SMU GES 2020,Law | SMU 2020
Law (cum laude & above),School of Law,0.955,"$5,141","$5,000","$4,500","$5,735",SMU,2020,No,SMU GES 2020,Law (cum laude & above) | SMU 2020
Bachelor of Early Childhood Education,S R Nathan School of Human Development,0.882,"$2,879","$3,000","$2,700","$3,016",SUSS,2020,No,SUSS GES 2020,Bachelor of Early Childhood Education | SUSS 2020
Bachelor of Human Resource Management,S R Nathan School of Human Development,0.226,"$3,051","$2,950","$2,650","$3,300",SUSS,2020,No,SUSS GES 2020,Bachelor of Human Resource Management | SUSS 2020
Bachelor of Social Work,S R Nathan School of Human Development,0.892,"$3,486","$3,500","$3,450","$3,655",SUSS,2020,No,SUSS GES 2020,Bachelor of Social Work | SUSS 2020
Bachelor of Accountancy,School of Business,0.817,"$3,116","$3,000","$3,000","$3,000",SUSS,2020,No,SUSS GES 2020,Bachelor of Accountancy | SUSS 2020
Bachelor of Science in Finance,School of Business,0.500,"$3,854","$3,163","$2,850","$4,466",SUSS,2020,No,SUSS GES 2020,Bachelor of Science in Finance | SUSS 2020
Bachelor of Science in Marketing,School of Business,0.513,"$3,246","$2,900","$2,750","$3,520",SUSS,2020,No,SUSS GES 2020,Bachelor of Science in Marketing | SUSS 2020
Bachelor of Science in Supply Chain Management,School of Business,0.360,"$3,284","$3,185","$2,950","$3,500",SUSS,2020,No,SUSS GES 2020,Bachelor of Science in Supply Chain Management | SUSS 2020
Bachelor of Engineering (Engineering Product Development),SUTD,0.821,"$3,901","$3,800","$3,500","$4,150",SUTD,2020,No,SUTD GES 2020,Bachelor of Engineering (Engineering Product Development) | SUTD 2020
Bachelor of Engineering (Engineering Systems & Design),SUTD,0.771,"$4,287","$4,000","$3,725","$4,900",SUTD,2020,No,SUTD GES 2020,Bachelor of Engineering (Engineering Systems & Design) | SUTD 2020
Bachelor of Engineering (Information Systems Technology & Design),SUTD,0.854,"$4,734","$4,500","$4,000","$5,000",SUTD,2020,No,SUTD GES 2020,Bachelor of Engineering (Information Systems Technology & Design) | SUTD 2020
Bachelor of Science (Architecture & Sustainable Design),SUTD,0.956,"$3,982","$3,800","$3,500","$4,070",SUTD,2020,No,SUTD GES 2020,Bachelor of Science (Architecture & Sustainable Design) | SUTD 2020
Bachelor of Arts in Game Design,DigiPen Institute of Technology,0.786,"$3,575","$3,500","$3,100","$3,600",SIT,2020,No,SIT GES 2020,Bachelor of Arts in Game Design | SIT 2020
Bachelor of Fine Arts in Digital Arts & Animation,DigiPen Institute of Technology,0.706,"$2,862","$2,887","$2,675","$3,000",SIT,2020,No,SIT GES 2020,Bachelor of Fine Arts in Digital Arts & Animation | SIT 2020
Bachelor of Science in Computer Science & Game Design,DigiPen Institute of Technology,0.818,"$3,974","$4,000","$3,500","$4,200",SIT,2020,No,SIT GES 2020,Bachelor of Science in Computer Science & Game Design | SIT 2020
Bachelor of Science in Computer Science in Real-Time Interactive Simulation,DigiPen Institute of Technology,0.905,"$4,399","$4,200","$3,880","$4,500",SIT,2020,No,SIT GES 2020,Bachelor of Science in Computer Science in Real-Time Interactive Simulation | SIT 2020
Bachelor of Accountancy with Honours,Singapore Institute of Technology,0.698,"$3,120","$3,000","$3,000","$3,200",SIT,2020,No,SIT GES 2020,Bachelor of Accountancy with Honours | SIT 2020
Bachelor of Engineering with Honours in Information & Communications Technology (Information Security),Singapore Institute of Technology,0.959,"$4,237","$4,300","$3,600","$4,630",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Information & Communications Technology (Information Security) | SIT 2020
Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering),Singapore Institute of Technology,0.830,"$4,366","$4,000","$3,600","$4,750",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Information & Communications Technology (Software Engineering) | SIT 2020
Bachelor of Engineering with Honours in Pharmaceutical Engineering,Singapore Institute of Technology,0.739,"$3,749","$3,740","$3,400","$4,000",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Pharmaceutical Engineering | SIT 2020
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services),Singapore Institute of Technology,0.846,"$3,702","$3,500","$3,375","$3,800",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Building Services) | SIT 2020
Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land),Singapore Institute of Technology,0.771,"$4,203","$4,105","$3,650","$4,370",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Sustainable Infrastructure Engineering (Land) | SIT 2020
Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering),Singapore Institute of Technology,0.554,"$4,135","$4,200","$3,380","$4,800",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Telematics (Intelligent Transportation Systems Engineering) | SIT 2020
Bachelor of Hospitality Business with Honours,Singapore Institute of Technology,0.479,"$3,148","$3,000","$2,800","$3,400",SIT,2020,No,SIT GES 2020,Bachelor of Hospitality Business with Honours | SIT 2020
Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems),SIT-DigiPen Institute of Technology,0.826,"$4,114","$4,185","$3,750","$4,250",SIT,2020,No,SIT GES 2020,Bachelor of Engineering in Systems Engineering (ElectroMechanical Systems) | SIT 2020
Bachelor of Food Technology with Honours,SIT-Massey University,0.524,"$3,084","$3,000","$2,770","$3,400",SIT,2020,No,SIT GES 2020,Bachelor of Food Technology with Honours | SIT 2020
Bachelor of Engineering with Honours in Chemical Engineering,SIT-Newcastle University,0.478,"$3,242","$3,200","$3,000","$3,500",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Chemical Engineering | SIT 2020
Bachelor of Engineering with Honours in Electrical Power Engineering,SIT-Newcastle University,0.688,"$3,603","$3,500","$3,400","$3,850",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Electrical Power Engineering | SIT 2020
Bachelor of Engineering with Honours in Marine Engineering,SIT-Newcastle University,0.792,"$3,821","$3,750","$3,300","$4,370",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Marine Engineering | SIT 2020
Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,SIT-Newcastle University,0.571,"$3,443","$3,350","$3,025","$3,925",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering | SIT 2020
Bachelor of Engineering with Honours in Naval Architecture,SIT-Newcastle University,0.429,"$3,244","$3,200","$2,600","$3,465",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Naval Architecture | SIT 2020
Bachelor of Engineering with Honours in Offshore Engineering,SIT-Newcastle University,0.692,"$4,160","$4,000","$3,750","$4,800",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Offshore Engineering | SIT 2020
Bachelor in Science (Diagnostic Radiography),SIT-Trinity College Dublin,1.000,"$3,685","$3,650","$3,400","$3,859",SIT,2020,No,SIT GES 2020,Bachelor in Science (Diagnostic Radiography) | SIT 2020
Bachelor in Science (Occupational Therapy),SIT-Trinity College Dublin,1.000,"$3,542","$3,400","$3,364","$3,629",SIT,2020,No,SIT GES 2020,Bachelor in Science (Occupational Therapy) | SIT 2020
Bachelor in Science (Physiotherapy),SIT-Trinity College Dublin,0.963,"$3,518","$3,500","$3,400","$3,700",SIT,2020,No,SIT GES 2020,Bachelor in Science (Physiotherapy) | SIT 2020
Bachelor in Science (Radiation Therapy),SIT-Trinity College Dublin,0.833,"$3,380","$3,500","$3,400","$3,500",SIT,2020,No,SIT GES 2020,Bachelor in Science (Radiation Therapy) | SIT 2020
Bachelor of Engineering with Honours in Civil Engineering,SIT-University of Glasgow,0.787,"$3,518","$3,500","$3,200","$3,700",SIT,2020,No,SIT GES 2020,Bachelor of Engineering with Honours in Civil Engineering | SIT 2020
Bachelor of Science with Honours in Nursing,SIT-University of Glasgow,0.942,"$3,725","$3,650","$3,405","$4,000",SIT,2020,No,SIT GES 2020,Bachelor of Science with Honours in Nursing | SIT 2020
